name|link|desc
RemoveBG|https://www.remove.bg/it/|Rimuove il background delle immagini
Replicate | https://replicate.com/nightmareai/rea...|
Resemble|| strumento simile a Overdub permette di ricreare la tua voce in maniera del tutto artificiale.
Resume Worded||
Reverside|https://riverside.fm/video-editor|Audio editor with AI, also multitrack editor, interviews, podcast
Rewind||si sostituisce alla nostra memoria. Come funziona? L’app ti chiede di caricare in sostanza ogni cosa che ti riguarda: foto, documenti, posta elettronica e così via. Una volta caricato tutto, l’app diventa la tua memoria. Potrà generare letteralmente dei ricordi e tirerà fuori tutto quello che non ricordi. 
Rio.ac ||immagini brasile
Risorse|https://datamasters.it/corsi/generative-ai/||
Risposta automatica||gestire informazioni;
Rivet|https://rivet.ironcladapp.com/|Open-Source Visual AI Programming Environment - Sviluppo codice, compilazione e anteprima developer
Rossum|https://rossum.ai/| Rossum è una piattaforma di elaborazione automatica dei documenti che utilizza Mistral.ai per estrarre i dati dai documenti e automatizzare i processi aziendali.
Runaway |https://runwayml.com/|30 strumenti per lavorare con l’intelligenza artificiale a video, testi, immagini. software,saas  top5
Rytar|https://rytar.ca/|genera testi per articoli
Sample | https://chrome.google.com/webstore/de...|
Scikit-learn||Insegna  python
Scribbleddiffusion|https://scribblediffusion.com|Scribble Diffusion is an open-source project from Replicate. Turn your sketch into a refined image using AI.
Searp.ai|https://serp.ai/|Artificial Intelligence & Machine Learning, elenco di tool
Semanticscholar.org|https://www.semanticscholar.org|analizza studio scientifici e accademici con metodologie interessanti. Analizza anche testi lunghi. Molto gratuito. Impara dai documenti inviati.
Sharly.ai|https://app.sharly.ai|Carica documenti in pdf e chiedi analisi sintesi tipo rag #top
ShowMe|https://www.whatplugin.ai|Present It ShowME - whatplugin.ai   a ChatGPT plugin  to simplify creating presentations. 
Shortbread|https://shortbread.ai/|Comics generator, permette di generare anche fotoromanzi con personaggi che mantengono le caretteristiche del volto e corporali
Speechify.com|https://speechify.com/dubbing|voce audio text to ai voice speech alos ocr app 
Synthesia|https://www..io/?via=cristian-iovino|Top video prompt generator, Turn text to video, in minutes Create studio-quality videos with AI avatars and voiceovers in 140+ languages. It’s as easy as making a slide deck.
SmartSlides||https://smart-slides.co|Smart Slides is a plugin that uses ChatGPT to generate slides from prompts. You can save time, find images, analyze data and use diverse layouts with Smart Slides.
Smodin|https://smodin.io|Smodin: Multi-lingual Writing Assistance Smodin is a platform that offers various features to help you write, solve and succeed with AI. You can generate content, get feedback, detect plagiarism, cite sources, and translate texts in multiple 
SocialGist|https://socialgist.com/|Accessible social data, with Socialgist. We are the data access layer between social media networks and the analytics community, making it easy for you to get access to the world’s public online conversational data. The deepest data delivered Get real-time updates about your social media content, data streams, APIs and more. 
Sonix||
Soundraw|https://soundraw.io/|creazione musicale per generare facilmente composizioni musicali originali. podcast
Soundverse|https://appsumo.8odi.net/JzaWVE|Software free
Spacy|https://spacy.io/|spaCy is designed to help you do real work — to build real products, or gather real insights. The library respects your time, and tries to avoid wasting it. It's easy to install, and its API is simple and productive. spaCy excels at large-scale information extraction tasks. #chunking #developers
Speaktor.com|https://speaktor.com/it/generatore-audio/|Generatore voci text to speech Produci facilmente audio di alta qualità con AI in varie lingue utilizzando il generatore audio AI di Speaktor. Migliora i tuoi contenuti con il generatore audio potenziato dall'AI e le funzionalità di VoiceOver di Speaktor. Genera audio AI in oltre 50 lingue, podcasting
SpeechText.AI||costoso trascrive voce
Speechify|| https://voiceover.speechify.com/
Spotify ||an AI-powered DJ that not only plays songs based on your preferences but talks to you and can even call you by name
Spyne.ai|https://www.spyne.ai| migliora qualità sgranata di immagini ingrandendole
SquadCast | https://app.squadcast.fm/|
Stabel diffusione xl||immagini
Stability|https://stability.ai/stable-diffusion|audio video image language #immagini
Stable Attribution|https://www.stableattribution.com/|A Revolutionary Art-Generating AI Tool
Stableaudio|https://www.stableaudio.com/|free personal,pro commercial,3 min audio generator, podcast, very easy,musicians genre
Stablediffusionweb|https://stablediffusionweb.com/SDXL-Turbo|Genera le immagini in tempo reale mentre scrivi il prompt. 
Starryai|https://starryai.com/|Tools: text to art, photos, images, enehance  immagini, upscale, remove bsackground, train styleCraft engaging visuals with text prompts, images, and sketches.
Stickermule|https://www.stickermule.com/it| genera immagini
Studyfetch.com|https://www.studyfetch.com|sbobina converte e spiega appunti audio video e pdf con l'IA dal tuo materiale del corso in pochi secondi. Top per lavorare su video e pdf
Summarizer|https://www.summarizer.org/|Riassume, abstract, necessaria registrazione
Summify ||perfare i riassunti dei video Youtube. 
SunoAI|https://suno.com|genera brani musicali molto molto bene genera musica, make a song about anything top best generator top5
Superhuman ||trasformare la vostra casella e-mail in una più pulita e organizzata 
Syntesia.io||video
Synthesia|| crea video da testo rapidamente cona vatar parlante è lo strumento in grado di realizzare un video da zero di una persona che parla e che dice le cose che hai scritto. 
Synthesys X ||estensione Chrome. cercando un’immagine sui motori di ricerca, questa estensione permette di ricrearla con l’intelligenza artificiale.
Talk to Claude.ai|https://claude.ai|
TalkAI|https://talkai.info/it/|utilizzare chatgpt senza registrazione
Talk to books|| chiede info ai libri
TensorPix ||migliora  la qualità e la risoluzione di un video con un click. 
Textchunkncer|https://textchunker.com|reduce in chunks big text, privacy compliant, that's chuncking
Textrazor|https://www.textrazor.com/plans|Extract Meaning from your Text. - The TextRazor API helps you extract and understand the Who, What, Why and How from your survey verbatims with unprecedented accuracy and speed. developers
Text Summarizer|https://www.paraphraser.io/text-summarizer| by Paraphraser
Theresanaiforthat|https://theresanaiforthat.com/|elenco directory di compiti e lavori (job e task)
Thispersondoesnotexist||genera immagini di persone che non esistono
Titan gtt2||modello
Tldrthis.com|https://www.tldrthis.com/|text summarize, ottimo per sintesi, sommari, indici, con estensione;carica file o url o testo
Tokenizer|https://platform.openai.com/tokenizer|calcola i token che saranno generati dal testo di partenza
Tome ||tool ibrido che, come GoCharlie, mette insieme la realizzazione di immagini e di testo. e intere presentazioni
Toniwow.com|https://tinywow.com/|Free AI Writing, PDF, Image, and other Online Tools TinyWow is 100% free to use (even OCR), with no pesky registration required. For our most loyal supporters, a $5.99/month plan unlocks an ad and captcha free,text,testi;elenco directory #immagini
ToonMe | https://toonme.com/|
Topapps.ai|https://topapps.ai/apps-categories/audio-editing/|Ai tool per podcast Elenco delle TOP APPs POWERED BY AI - THE BEST AI POWERED WEB APPS, directory
Udio|https://www.udio.com/|genera musica suoni audio e testo da prompt per podcast
Uizard|https://app.uizard.io|design user interfaces, for developers
Ultimate remover|https://ultimatevocalremover.com/|rimuove voce da suoni musiche separa
x-minus|https://x-minus.pro/ai|rimuove voce da suoni musiche separa, toglie riverbero top - reverb
Unscreen ||eliminare lo sfondo da qualsiasi video
Upod|https://www.upod.ai/signin/|podcast generator. mah
Use cases||LLM per HR -     Inerview 
Use cases||LLM per HR -     Job Description 
Use cases||LLM per HR -     Onboarding
Use cases||LLM per HR -     Selezione curricula
Use case||integrazioni    Crafting Subject/pre-header
Use case||integrazioni    Crafting campagne
Use case||integrazioni    Crafting singole mail
Use case||integrazioni    OpenAI Plug-in
Use case||integrazioni    Tecniche: CoT
Use case||integrazioni    Tecniche: N-Shot
Use case||integrazioni    Zapier
Use case||integrazioni DEM
Use case||integrazioni Text2Image, Inpainting, Outpainting 
Usecases||Generative AI-     Esempi di Prompt
Usecases||Generative AI-     Guida pratica alla Strutturazione di Prompt Efficaci
Usecases||Generative AI-     LLM
Usecases||Generative AI-     Le AI Generative 
Usecases||Generative AI-     Pillole di Prompt Engineering
Usecases||Generative AI-    AI & Machine Learning
Venice|https://venice.ai|text,image,coding generation with privacy,alternative of chatgpt, llama3 Nous HErmes o Dogge
Vercel Prompt ||per professionisti avanzati in ai
Versy|| parte da un testo per generare un’esperienza virtuale.
Vertex||
Vicuna||come chatgpt
Video2quiz|https://video2quiz.com/|Quiz generator from videos
Vidnoz|https://it.vidnoz.com|Top crea video da testo, prompt generator, clona voci
Visla|https://www.visla.us/| genera video
vocalremover|https://vocalremover.co/it/|Separa perfettamente audio da suoni, top eccellente best podcasting
Vocal remover |https://vocalremover.org/| separa, estrae, livella e toglie rumore e voce da audio vocali e musiche, utile per podcast live, ideale per tracce di karaoke. Separa strumenti.
Voice.ai|https://voice.ai|separa e rimuove voce e rumore, anche echo, eco, riverbero, conversioni e cambia voce; genera voce inglese
Voicedream.com|https://www.voicedream.com/|AI Text To Speech Reader Join millions of users and listen to PDFs, textbooks, emails, docs, articles, and more!
Waymark||produce video di alta qualità estremamente semplice 
WebPilot||
Whisper AI|| trascrizioni
Wizard lm||come chatgpt
Wondercraft.ai|https://www.wondercraft.ai/create/ads|generatorei di voce, audio, effetti, podcast, marketing ... molto automatico
Wondershare|https://presentory.wondershare.com/app/generate/d | crea presentazioni 
https://wordgenie.de/en/|| scrittura di libri
Writesonic|https://writesonic.com/|Generative AI Platform for Content Creation, SEO and AI Chatbots. scrittura
Wysper|https://appsumo.8odi.net/ank4AM
YouChat|https://you.com/|Alternative to poe e chatgpt, offre gpt 4 
Zerogpt|https://www.zerogpt.com/summarizer|Summarize Any Text Instantly with High Accuracy - ZeroGPT's Text summarizer shortens any text and maintains the original contex
|https://crowdin.com|
|https://www.dubdub.ai/|
|https://www.paraphraser.io/it/riassunto-online|
|| AI generated automotive commercial. Visuals by Midjourney, video by @pika_labs
|| write up a business plan, create a presentation for it, and even generate images of what your product might look like. Companies will be able to make agents available for their employees to consult directly and be part of every meeting so they can answer questions.
||Advanced Data Analysis    Approfondimento su Copilot
||Advanced Data Analysis    CodeChat
||Advanced Data Analysis    Create mock data
||Advanced Data Analysis    Installazione plugin
||Advanced Data Analysis    Regex simplified with copilot 
||Advanced Data Analysis    Uso con autosuggest
||Advanced Data Analysis    Uso con inclusione librerie
||Advanced Data Analysis    Uso per sviluppo web
||Coding    Creazione di un modello di ML su dataset FIFA-22
||use cases- riconoscimento immagini
||use cases-- generazione testo - partendo da altri testi
||use cases-- q&a
||use cases-- user input
app Arch|https://apps.apple.com/us/app/arch-ai|fotografa e riarreda una stanza
app Seeing AI|https://apps.apple.com/us/app/seeing-ai/id999062298|App per ipovedenti, vede lei per te, accessibilità, disabilità
app Elsa Speak|https://elsaspeak.com/en/|App per correggere l'accento nelle lingue, Your personal AI-powered English speaking coach - Speak English in short, fun dialogues. Get instant feedback from our proprietary artificial intelligence technology.
app Moises|https://dream.ai/|App crea canzoni musiche
app Wombo Dream|https://dream.ai/|App genera immagini scegliendo gli stili, con aiuto nel prompting
app Photoleap|https://www.photoleapapp.com/|migliora le foto, filtri, immagini, nuovi oggetti, sfondo, selfie
app Videoleap|https://play.google.com/store/apps/details?id=com.lightricks.videoleap|per togliere oggetti da video
app Motionleap|https://play.google.com/store/apps/details?id=com.lightricks.pixaloop&hl=en-US|anima parti di fotografie
app Copilot|https://apps.microsoft.com/detail/9nht9rb2f4hd?hl=en-us&gl=US|usa anche immagini e navigare il web e genera musiche e canzoni
app Genie|https://play.google.com/store/apps/details?id=co.appnation.geniechat&hl=en-US|genera qualsiasi contenuto con template comodi
app Arc Search||analizza i risultati di ricerca e ordina i contenuti
app Microsoft SwiftKey|
app MyMind|| 
app Dolby On||
app Character AI||
app MemeCam (solo iOS)|
Pika Labs|https://pika.art/login|
Luma Labs|https://lumalabs.ai/
MusicGen via Wayformer|https://waveformer.replicate.dev/|
Bing Chat|https://www.bing.com/search?q=Bing+AI|...
Bing Image Generator (DALL-E 3|https://www.bing.com/create
Adobe Firefly 2|https://firefly.adobe.com/|
Replicate|https://replicate.com/explore|
CapCut|https://www.capcut.com/|
Adobe Podcast|https://podcast.adobe.com/enhance|
Leiapix|https://convert.leiapix.com/|
Animated Drawings|https://sketch.metademolab.com/|
Adaptiwave|https://www.adaptiwave.com|
Gamma.app|https://gamma.app/| crea siti web e presentazioni con l'AI 
Taskade|https://www.taskade.com/| il tuo agente AI personale 
Otio.ai|https://otio.ai/| analisi rapida di contenuti complessi 
Phind|https://www.phind.com/| il motore di ricerca potenziato dall'AI 
MyLens|http://mylens.ai| mappe concettuali generate dall'AI 
AudioPen|https://audiopen.ai/| trasforma audio confusi in testo perfetto 
Goblin.tools|https://goblin.tools/| organizzazione intelligente per tutti 
Lex|https://lex.page/| un editor di scrittura rivoluzionario
dallegenerate|https://dallegenerate.art/| Generate stunning AI art with AI Image Generator
